ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
333,8,1350,1392,932.0,890.0,8.0,
334,8,43,85,932.0,890.0,8.0,
335,8,1350,1392,932.0,890.0,8.0,
336,8,1350,1392,932.0,890.0,8.0,
337,8,43,85,932.0,890.0,8.0,
338,8,1350,1392,932.0,890.0,8.0,
339,8,1350,1392,932.0,890.0,8.0,
340,8,43,85,932.0,890.0,8.0,
341,8,1350,1392,932.0,890.0,8.0,
342,8,1350,1392,932.0,890.0,8.0,
343,8,43,85,932.0,890.0,8.0,
344,8,1350,1392,932.0,890.0,8.0,
345,8,1350,1392,932.0,890.0,8.0,
346,8,43,85,932.0,890.0,8.0,
347,8,1350,1392,932.0,890.0,8.0,
348,8,1350,1392,932.0,890.0,8.0,
349,8,43,85,932.0,890.0,8.0,
350,8,1350,1392,932.0,890.0,8.0,
351,8,1350,1392,932.0,890.0,8.0,
352,8,43,85,932.0,890.0,8.0,
353,8,1350,1392,932.0,890.0,8.0,
354,8,1350,1392,932.0,890.0,8.0,
355,8,43,85,932.0,890.0,8.0,
356,8,1350,1392,932.0,890.0,8.0,
357,8,1350,1392,932.0,890.0,8.0,
358,8,43,85,932.0,890.0,8.0,
359,8,1350,1392,932.0,890.0,8.0,
360,8,1350,1392,932.0,890.0,8.0,
361,8,43,85,932.0,890.0,8.0,
362,8,1350,1392,932.0,890.0,8.0,
363,8,1350,1392,932.0,890.0,8.0,
364,8,43,85,932.0,890.0,8.0,
365,8,1350,1392,932.0,890.0,8.0,
366,8,1350,1392,932.0,890.0,8.0,
367,8,43,85,932.0,890.0,8.0,
368,8,1350,1392,932.0,890.0,8.0,
369,8,1350,1392,932.0,890.0,8.0,
370,8,43,85,932.0,890.0,8.0,
371,8,1350,1392,932.0,890.0,8.0,
372,8,1350,1392,932.0,890.0,8.0,
373,8,43,85,932.0,890.0,8.0,
374,8,1350,1392,932.0,890.0,8.0,
375,8,1350,1392,932.0,890.0,8.0,
376,8,43,85,932.0,890.0,8.0,
377,8,1350,1392,932.0,890.0,8.0,
378,8,1350,1392,932.0,890.0,8.0,
379,8,43,85,932.0,890.0,8.0,
380,8,1350,1392,932.0,890.0,8.0,
381,8,1350,1392,932.0,890.0,8.0,
382,8,43,85,932.0,890.0,8.0,
383,8,1350,1392,932.0,890.0,8.0,
384,8,1350,1392,932.0,890.0,8.0,
385,8,41,83,932.0,890.0,8.0,
386,8,1350,1392,932.0,890.0,8.0,
387,8,1350,1392,932.0,890.0,8.0,
388,8,41,83,932.0,890.0,8.0,
389,8,1350,1392,932.0,890.0,8.0,
390,8,1350,1392,932.0,890.0,8.0,
391,8,41,83,932.0,890.0,8.0,
392,8,1350,1392,932.0,890.0,8.0,
393,8,1350,1392,932.0,890.0,8.0,
394,8,41,83,932.0,890.0,8.0,
395,8,1350,1392,932.0,890.0,8.0,
396,8,1350,1392,932.0,890.0,8.0,
397,8,41,83,932.0,890.0,8.0,
398,8,1350,1392,932.0,890.0,8.0,
399,8,1350,1392,932.0,890.0,8.0,
400,8,41,83,932.0,890.0,8.0,
401,8,1350,1392,932.0,890.0,8.0,
402,8,1350,1392,932.0,890.0,8.0,
403,8,41,83,932.0,890.0,8.0,
404,8,1350,1392,932.0,890.0,8.0,
405,8,1350,1392,932.0,890.0,8.0,
406,8,41,83,932.0,890.0,8.0,
407,8,1350,1392,932.0,890.0,8.0,
408,8,1350,1392,932.0,890.0,8.0,
409,8,41,83,932.0,890.0,8.0,
410,8,1350,1392,932.0,890.0,8.0,
411,8,1350,1392,932.0,890.0,8.0,
412,8,43,85,932.0,890.0,8.0,
413,8,1350,1392,932.0,890.0,8.0,
414,8,1350,1392,932.0,890.0,8.0,
415,8,43,85,932.0,890.0,8.0,
416,8,1350,1392,932.0,890.0,8.0,
417,8,1350,1392,932.0,890.0,8.0,
418,8,43,85,932.0,890.0,8.0,
419,8,1350,1392,932.0,890.0,8.0,
420,8,1350,1392,932.0,890.0,8.0,
421,8,43,85,932.0,890.0,8.0,
422,8,1350,1392,932.0,890.0,8.0,
423,8,1350,1392,932.0,890.0,8.0,
424,8,43,85,932.0,890.0,8.0,
425,8,1350,1392,932.0,890.0,8.0,
426,8,1350,1392,932.0,890.0,8.0,
427,8,43,85,932.0,890.0,8.0,
428,8,1350,1392,932.0,890.0,8.0,
429,8,1350,1392,932.0,890.0,8.0,
430,8,43,85,932.0,890.0,8.0,
431,8,1350,1392,932.0,890.0,8.0,
432,8,1350,1392,932.0,890.0,8.0,
433,8,43,85,932.0,890.0,8.0,
434,8,1350,1392,932.0,890.0,8.0,
435,8,1350,1392,932.0,890.0,8.0,
436,8,43,85,932.0,890.0,8.0,
437,8,1350,1392,932.0,890.0,8.0,
438,8,1350,1392,932.0,890.0,8.0,
439,8,43,85,932.0,890.0,8.0,
440,8,1350,1392,932.0,890.0,8.0,
441,8,1350,1392,932.0,890.0,8.0,
442,8,43,85,932.0,890.0,8.0,
443,8,1350,1392,932.0,890.0,8.0,
444,8,1350,1392,932.0,890.0,8.0,
445,8,43,85,932.0,890.0,8.0,
446,8,1350,1392,932.0,890.0,8.0,
447,8,1350,1392,932.0,890.0,8.0,
448,8,43,85,932.0,890.0,8.0,
449,8,1350,1392,932.0,890.0,8.0,
450,8,1350,1392,932.0,890.0,8.0,
451,8,43,85,932.0,890.0,8.0,
452,8,1350,1392,932.0,890.0,8.0,
453,8,1350,1392,932.0,890.0,8.0,
454,8,43,85,932.0,890.0,8.0,
455,8,1350,1392,932.0,890.0,8.0,
456,8,1350,1392,932.0,890.0,8.0,
457,8,43,85,932.0,890.0,8.0,
458,8,1350,1392,932.0,890.0,8.0,
459,8,1350,1392,932.0,890.0,8.0,
460,8,43,85,932.0,890.0,8.0,
461,8,1350,1392,932.0,890.0,8.0,
462,8,1350,1392,932.0,890.0,8.0,
463,8,43,85,932.0,890.0,8.0,
464,8,1350,1392,932.0,890.0,8.0,
465,8,1350,1392,932.0,890.0,8.0,
466,8,43,85,932.0,890.0,8.0,
467,8,1350,1392,932.0,890.0,8.0,
468,8,1350,1392,932.0,890.0,8.0,
469,8,43,85,932.0,890.0,8.0,
470,8,1350,1392,932.0,890.0,8.0,
471,8,1350,1392,932.0,890.0,8.0,
472,8,43,85,932.0,890.0,8.0,
473,8,1350,1392,932.0,890.0,8.0,
474,8,1350,1392,932.0,890.0,8.0,
475,8,43,85,932.0,890.0,8.0,
476,8,1350,1392,932.0,890.0,8.0,
477,8,107,149,932.0,890.0,8.0,
478,8,1350,1392,932.0,890.0,8.0,
479,8,46,88,932.0,890.0,8.0,
480,8,1350,1392,932.0,890.0,8.0,
481,8,1350,1392,932.0,890.0,8.0,
482,8,41,83,932.0,890.0,8.0,
483,8,1350,1392,932.0,890.0,8.0,
484,8,1350,1392,932.0,890.0,8.0,
485,8,41,83,932.0,890.0,8.0,
486,8,1350,1392,932.0,890.0,8.0,
487,8,1350,1392,932.0,890.0,8.0,
488,8,41,83,932.0,890.0,8.0,
489,8,1350,1392,932.0,890.0,8.0,
490,8,1350,1392,932.0,890.0,8.0,
491,8,1350,1392,932.0,890.0,8.0,
492,8,41,83,932.0,890.0,8.0,
493,8,1350,1392,932.0,890.0,8.0,
494,8,41,83,932.0,890.0,8.0,
495,8,1350,1392,932.0,890.0,8.0,
496,8,1350,1392,932.0,890.0,8.0,
497,8,41,83,932.0,890.0,8.0,
498,8,1350,1392,932.0,890.0,8.0,
499,8,1350,1392,932.0,890.0,8.0,
500,8,41,83,932.0,890.0,8.0,
501,8,1350,1392,932.0,890.0,8.0,
502,8,1350,1392,932.0,890.0,8.0,
503,8,41,83,932.0,890.0,8.0,
504,8,1350,1392,932.0,890.0,8.0,
505,8,1350,1392,932.0,890.0,8.0,
506,8,41,83,932.0,890.0,8.0,
507,8,1350,1392,932.0,890.0,8.0,
508,8,1350,1392,932.0,890.0,8.0,
509,8,41,83,932.0,890.0,8.0,
510,8,1350,1392,932.0,890.0,8.0,
511,8,1350,1392,932.0,890.0,8.0,
512,8,41,83,932.0,890.0,8.0,
513,8,1350,1392,932.0,890.0,8.0,
514,8,1350,1392,932.0,890.0,8.0,
515,8,41,83,932.0,890.0,8.0,
516,8,1350,1392,932.0,890.0,8.0,
517,8,1350,1392,932.0,890.0,8.0,
518,8,41,83,932.0,890.0,8.0,
519,8,1350,1392,932.0,890.0,8.0,
520,8,1350,1392,932.0,890.0,8.0,
521,8,41,83,932.0,890.0,8.0,
522,8,1350,1392,932.0,890.0,8.0,
523,8,1350,1392,932.0,890.0,8.0,
524,8,41,83,932.0,890.0,8.0,
525,8,1350,1392,932.0,890.0,8.0,
526,8,1350,1392,932.0,890.0,8.0,
527,8,41,83,932.0,890.0,8.0,
528,8,1350,1392,932.0,890.0,8.0,
529,8,1350,1392,932.0,890.0,8.0,
530,8,41,83,932.0,890.0,8.0,
531,8,1350,1392,932.0,890.0,8.0,
532,8,1350,1392,932.0,890.0,8.0,
533,8,41,83,932.0,890.0,8.0,
534,8,1350,1392,932.0,890.0,8.0,
535,8,1350,1392,932.0,890.0,8.0,
536,8,41,83,932.0,890.0,8.0,
537,8,1350,1392,932.0,890.0,8.0,
538,8,1350,1392,932.0,890.0,8.0,
539,8,41,83,932.0,890.0,8.0,
540,8,1350,1392,932.0,890.0,8.0,
541,8,1350,1392,932.0,890.0,8.0,
542,8,1350,1392,932.0,890.0,8.0,
543,8,41,83,932.0,890.0,8.0,
544,8,1350,1392,932.0,890.0,8.0,
545,8,41,83,932.0,890.0,8.0,
546,8,1350,1392,932.0,890.0,8.0,
547,8,1350,1392,932.0,890.0,8.0,
548,8,41,83,932.0,890.0,8.0,
549,8,1350,1392,932.0,890.0,8.0,
550,8,1350,1392,932.0,890.0,8.0,
551,8,41,83,932.0,890.0,8.0,
552,8,1350,1392,932.0,890.0,8.0,
553,8,1350,1392,932.0,890.0,8.0,
554,8,41,83,932.0,890.0,8.0,
555,8,1350,1392,932.0,890.0,8.0,
556,8,1350,1392,932.0,890.0,8.0,
557,8,41,83,932.0,890.0,8.0,
558,8,1350,1392,932.0,890.0,8.0,
559,8,1350,1392,932.0,890.0,8.0,
560,8,41,83,932.0,890.0,8.0,
561,8,1350,1392,932.0,890.0,8.0,
562,8,1350,1392,932.0,890.0,8.0,
563,8,1350,1392,932.0,890.0,8.0,
564,8,41,83,932.0,890.0,8.0,
565,8,1350,1392,932.0,890.0,8.0,
566,8,41,83,932.0,890.0,8.0,
567,8,1350,1392,932.0,890.0,8.0,
568,8,1350,1392,932.0,890.0,8.0,
569,8,41,83,932.0,890.0,8.0,
570,8,1350,1392,932.0,890.0,8.0,
571,8,1350,1392,932.0,890.0,8.0,
572,8,41,83,932.0,890.0,8.0,
573,8,1350,1392,932.0,890.0,8.0,
574,8,1350,1392,932.0,890.0,8.0,
575,8,43,85,932.0,890.0,8.0,
576,8,1350,1392,932.0,890.0,8.0,
577,8,1350,1392,932.0,890.0,8.0,
578,8,43,85,932.0,890.0,8.0,
579,8,1350,1392,932.0,890.0,8.0,
580,8,1350,1392,932.0,890.0,8.0,
581,8,43,85,932.0,890.0,8.0,
582,8,1350,1392,932.0,890.0,8.0,
583,8,1350,1392,932.0,890.0,8.0,
584,8,1350,1392,932.0,890.0,8.0,
585,8,43,85,932.0,890.0,8.0,
586,8,1350,1392,932.0,890.0,8.0,
587,8,1350,1392,932.0,890.0,8.0,
588,8,43,85,932.0,890.0,8.0,
589,8,1350,1392,932.0,890.0,8.0,
590,8,43,85,932.0,890.0,8.0,
591,8,1350,1392,932.0,890.0,8.0,
592,8,1350,1392,932.0,890.0,8.0,
593,8,43,85,932.0,890.0,8.0,
594,8,1350,1392,932.0,890.0,8.0,
595,8,1350,1392,932.0,890.0,8.0,
596,8,43,85,932.0,890.0,8.0,
597,8,1350,1392,932.0,890.0,8.0,
598,8,1350,1392,932.0,890.0,8.0,
599,8,1350,1392,932.0,890.0,8.0,
600,8,43,85,932.0,890.0,8.0,
601,8,1350,1392,932.0,890.0,8.0,
602,8,43,85,932.0,890.0,8.0,
603,8,1350,1392,932.0,890.0,8.0,
604,8,1350,1392,932.0,890.0,8.0,
605,8,43,85,932.0,890.0,8.0,
606,8,1350,1392,932.0,890.0,8.0,
607,8,1350,1392,932.0,890.0,8.0,
608,8,95,137,932.0,890.0,8.0,
609,8,43,85,932.0,890.0,8.0,
610,8,1350,1392,932.0,890.0,8.0,
611,8,1350,1392,932.0,890.0,8.0,
612,8,46,88,932.0,890.0,8.0,
613,8,1350,1392,932.0,890.0,8.0,
614,8,1350,1392,932.0,890.0,8.0,
615,8,41,83,932.0,890.0,8.0,
616,8,1350,1392,932.0,890.0,8.0,
617,8,1350,1392,932.0,890.0,8.0,
618,8,41,83,932.0,890.0,8.0,
619,8,1350,1392,932.0,890.0,8.0,
620,8,1350,1392,932.0,890.0,8.0,
621,8,41,83,932.0,890.0,8.0,
622,8,1350,1392,932.0,890.0,8.0,
623,8,1350,1392,932.0,890.0,8.0,
624,8,41,83,932.0,890.0,8.0,
625,8,1350,1392,932.0,890.0,8.0,
626,8,1350,1392,932.0,890.0,8.0,
627,8,41,83,932.0,890.0,8.0,
628,8,1350,1392,932.0,890.0,8.0,
629,8,1350,1392,932.0,890.0,8.0,
630,8,41,83,932.0,890.0,8.0,
631,8,1350,1392,932.0,890.0,8.0,
632,8,1350,1392,932.0,890.0,8.0,
633,8,41,83,932.0,890.0,8.0,
634,8,1350,1392,932.0,890.0,8.0,
635,8,1350,1392,932.0,890.0,8.0,
636,8,41,83,932.0,890.0,8.0,
637,8,1350,1392,932.0,890.0,8.0,
638,8,1350,1392,932.0,890.0,8.0,
639,8,41,83,932.0,890.0,8.0,
640,8,1350,1392,932.0,890.0,8.0,
641,8,1350,1392,932.0,890.0,8.0,
642,8,43,85,932.0,890.0,8.0,
643,8,1350,1392,932.0,890.0,8.0,
644,8,1350,1392,932.0,890.0,8.0,
645,8,43,85,932.0,890.0,8.0,
